name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vinhphuc,2020-09-11,33.8,25.9,29.3,46.8,25.9,35,26,83.7,6.2,100,62.5,rain,,,,10.8,183.1,1005.5,82.5,18.5,139.7,12.1,5,,2020-09-11T05:43:57,2020-09-11T18:03:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-12,32.7,27,29.2,42.2,31.2,36.3,26.6,86.6,3.1,100,45.83,rain,,,,13.7,142.6,1008,84.5,17,133.5,11.7,5,,2020-09-12T05:44:10,2020-09-12T18:03:00,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-13,31.8,25.9,28.5,40.4,25.9,33.4,25.8,85.9,16.32,100,12.5,rain,,,,14.6,160.5,1009.1,87.4,16.4,119.8,10.4,4,,2020-09-13T05:44:22,2020-09-13T18:02:04,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-14,31.4,26.2,28.3,40.4,26.2,32.6,25.8,86.8,2.3,100,8.33,rain,,,,13.5,150,1008.2,82.9,17.6,181.5,15.7,6,,2020-09-14T05:44:35,2020-09-14T18:01:09,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-15,32.6,25.5,28.7,42.1,25.5,33.5,25.6,83.8,4.55,100,4.17,rain,,,,18,166,1007,82.2,18.3,172,14.8,6,,2020-09-15T05:44:47,2020-09-15T18:00:14,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-16,33.2,25.9,29.1,44.3,25.9,35,26.2,84.9,0.1,100,4.17,rain,,,,12.2,175,1005.4,74.6,17.3,173.4,15.1,6,,2020-09-16T05:45:00,2020-09-16T17:59:19,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-17,33,26.7,29.3,41.7,26.7,35.5,26.1,83.4,1.1,100,25,rain,,,,12.2,117.9,1004.2,79.2,18.8,209.7,18.2,8,,2020-09-17T05:45:12,2020-09-17T17:58:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-18,28,21.5,25.4,31.7,21.5,26.2,22.9,86.4,19.09,100,12.5,rain,,,,38.2,43.2,1003.7,92.5,12.6,168.7,14.6,7,,2020-09-18T05:45:25,2020-09-18T17:57:28,0.01,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-19,28.5,22.7,25.2,35.1,22.7,26.4,24.2,94.4,69.01,100,16.67,rain,,,,31,115.4,1006.4,96,11.4,94.7,8,4,,2020-09-19T05:45:38,2020-09-19T17:56:33,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-20,28.4,24.1,25.8,33.1,24.1,26.8,24.4,92.3,12.9,100,12.5,rain,,,,15.4,154.6,1008.8,89.1,10.9,126.9,10.9,5,,2020-09-20T05:45:50,2020-09-20T17:55:37,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-21,30.6,24.8,27,38.5,24.8,29.8,25.2,90.3,0.3,100,4.17,rain,,,,13.3,181.4,1008.4,85,13,114.8,9.9,4,,2020-09-21T05:46:03,2020-09-21T17:54:42,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-22,31.4,25.3,28,39.8,25.3,31.6,25.5,86.6,0.15,100,4.17,rain,,,,14.4,193.7,1007.7,84.1,14.2,120.6,10.6,4,,2020-09-22T05:46:16,2020-09-22T17:53:47,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-23,31.6,25.9,27.9,41.2,25.9,31.8,25.9,89.5,2.7,100,66.67,rain,,,,12.6,167.7,1008,87.3,17.3,94.1,8.2,3,,2020-09-23T05:46:29,2020-09-23T17:52:51,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-24,30.1,24.9,27.3,36.6,24.9,30,25.1,88.3,2.28,100,4.17,rain,,,,18,87.9,1009.3,86.8,17.6,220.8,18.9,8,,2020-09-24T05:46:42,2020-09-24T17:51:56,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-25,31,25.5,27.7,37.9,25.5,30.9,25.3,87.6,29.67,100,4.17,rain,,,,12.6,151.4,1007.7,87.3,16.7,175.7,15.3,6,,2020-09-25T05:46:56,2020-09-25T17:51:01,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-26,32.2,24.9,28.3,42.9,24.9,33.3,26,87.7,5.19,100,8.33,rain,,,,11.9,149.5,1006.3,83.3,16.6,181.8,15.6,6,,2020-09-26T05:47:09,2020-09-26T17:50:07,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-27,31.4,25.9,27.9,40.3,25.9,31.8,26,89.8,14.48,100,8.33,rain,,,,14.8,114.6,1007.6,89.3,17.3,154.2,13.4,6,,2020-09-27T05:47:23,2020-09-27T17:49:12,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-28,28.7,25.3,26.5,34.6,25.3,27.8,25.2,92.9,2.24,100,4.17,rain,,,,11.8,128.8,1008.3,85,11.1,97.8,8.5,4,,2020-09-28T05:47:37,2020-09-28T17:48:18,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-29,30.6,25.3,27.4,37.9,25.3,30.3,25.2,88.4,0.22,100,4.17,rain,,,,9.9,153.3,1006.9,81.6,13.6,131.6,11.4,5,,2020-09-29T05:47:51,2020-09-29T17:47:24,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-30,31.9,25.3,28.2,40.6,25.3,32.1,25.4,86,1.92,100,8.33,rain,,,,12.7,153.7,1005.3,77.9,14.2,137.8,12,5,,2020-09-30T05:48:05,2020-09-30T17:46:30,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-01,30.6,26.1,27.8,37.9,26.1,31.4,25.6,88,10.55,100,8.33,rain,,,,11.8,142.5,1006.4,82.9,15.1,171,14.9,7,,2020-10-01T05:48:19,2020-10-01T17:45:36,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-02,30.7,25.9,27.7,37.7,25.9,31.2,25.7,89.3,2.15,100,12.5,rain,,,,12.7,120.9,1007.5,89.1,13.9,140.1,12.2,5,,2020-10-02T05:48:34,2020-10-02T17:44:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-03,29.7,25.5,27.4,38.7,25.5,30.6,25.5,89.5,0.3,100,8.33,rain,,,,14.4,169,1008.5,89.8,15.2,101.2,8.8,4,,2020-10-03T05:48:49,2020-10-03T17:43:50,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-04,31.9,25.4,27.7,39.6,25.4,31.2,25.3,87.5,4.44,100,8.33,rain,,,,14.4,160.9,1008.7,82.6,16,122.9,10.7,4,,2020-10-04T05:49:04,2020-10-04T17:42:58,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-05,31.2,25.3,27.6,42.2,25.3,31,25.3,87.8,13.64,100,8.33,rain,,,,19.8,167.2,1009.2,56.6,13.7,223,19.2,8,,2020-10-05T05:49:20,2020-10-05T17:42:06,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-06,29.2,21.6,25.2,34.3,21.6,25.9,23,88,19.88,100,12.5,rain,,,,24.5,48.3,1011.3,73.3,17,188.1,16.3,6,,2020-10-06T05:49:36,2020-10-06T17:41:14,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-07,28,20.4,24.1,30.2,20.4,24.3,21,83.5,1.5,100,58.33,rain,,,,28.8,72.8,1012.8,70.9,18.2,196.1,17,7,,2020-10-07T05:49:52,2020-10-07T17:40:23,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-08,26.9,19.6,23.1,28.1,19.6,23.2,19.4,80.3,1.1,100,37.5,rain,,,,29.9,58.5,1013.8,78,18.2,187.4,16.2,6,,2020-10-08T05:50:09,2020-10-08T17:39:32,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-09,27.5,18.9,22.8,28.5,18.9,22.9,18.7,78.8,0,0,0,,,,,29.5,58.7,1014.4,53.3,18.5,216,18.5,7,,2020-10-09T05:50:26,2020-10-09T17:38:42,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-10-10,26.6,18.4,22.5,26.6,18.4,22.5,18.4,78.7,0.7,100,29.17,rain,,,,25.2,140.5,1013.2,70.1,18.8,244.7,21.1,9,,2020-10-10T05:50:43,2020-10-10T17:37:53,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-11,27.9,18.6,23.2,28.8,18.6,23.3,18.9,77.8,0,0,0,,,,,22,182.9,1010.6,81.9,18.2,246.6,21.4,9,,2020-10-11T05:51:01,2020-10-11T17:37:03,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-10-12,27.3,20.5,24.1,29.6,20.5,24.4,20.2,79.8,1.3,100,37.5,rain,,,,25.6,161.9,1008.8,88.9,18.2,194.3,16.7,7,,2020-10-12T05:51:19,2020-10-12T17:36:15,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-13,29.6,21.9,24.9,31.1,21.9,25.1,20.7,79.1,5.4,100,62.5,rain,,,,27,234.6,1007.4,88.1,17.9,176.5,15.3,7,,2020-10-13T05:51:37,2020-10-13T17:35:27,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-14,24.7,22.1,23.2,24.7,22.1,23.2,21.8,91.9,79.68,100,29.17,rain,,,,38.5,290.8,1004.3,95.3,8.8,96.6,8.4,4,,2020-10-14T05:51:56,2020-10-14T17:34:40,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-15,27,22.7,24.4,30.5,22.7,24.6,23.4,94.5,36.22,100,12.5,rain,,,,26.6,139.6,1008.7,90.9,10.6,96.7,8.2,3,,2020-10-15T05:52:16,2020-10-15T17:33:53,0.99,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-16,26.8,19.9,24.3,29.1,19.9,24.4,22.4,89.5,102.46,100,12.5,rain,,,,32,70.1,1010.5,91.7,12.4,152.1,13.2,6,,2020-10-16T05:52:35,2020-10-16T17:33:07,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-17,22.9,17.7,20.6,22.9,17.7,20.6,17.6,83.6,3.8,100,12.5,rain,,,,33.5,109.1,1013,95.1,11.9,125.8,10.8,5,,2020-10-17T05:52:56,2020-10-17T17:32:22,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-18,22.3,18.1,19.9,22.3,18.1,19.9,18.1,89.9,17.96,100,16.67,rain,,,,32.4,109,1013.3,98.1,10,86.6,7.6,3,,2020-10-18T05:53:16,2020-10-18T17:31:38,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-19,20.7,17.3,19.4,20.7,17.3,19.4,17.3,87.7,11.51,100,12.5,rain,,,,33.1,106.9,1014.2,93.8,10,92.2,7.9,3,,2020-10-19T05:53:38,2020-10-19T17:30:54,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-20,23.4,17.6,20.5,23.4,17.6,20.5,17.5,83.3,0.76,100,4.17,rain,,,,27,182.4,1015.3,86.7,16.3,145,12.7,5,,2020-10-20T05:53:59,2020-10-20T17:30:11,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-21,26.9,18.1,21.8,27.1,18.1,21.8,16.5,73.6,0,0,0,,,,,27.7,166.8,1015.2,59.4,18.5,244.2,21,9,,2020-10-21T05:54:22,2020-10-21T17:29:29,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-10-22,28,17.9,21.8,27.8,17.9,21.8,16.4,74.1,0,0,0,,,,,27.4,176.7,1013,52.5,18.5,233.5,20.2,9,,2020-10-22T05:54:44,2020-10-22T17:28:48,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-10-23,28.1,17.2,21.2,27.5,17.2,21.2,15.7,73.3,0,0,0,,,,,23,174.3,1013.2,64.1,18.8,177,15.4,6,,2020-10-23T05:55:08,2020-10-23T17:28:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-10-24,28,17,21.3,27.9,17,21.3,16.2,74,0,0,0,,,,,16.6,226.2,1013.5,77.2,18.5,172.7,14.8,6,,2020-10-24T05:55:31,2020-10-24T17:27:28,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-10-25,24.1,17.8,21.6,24.1,17.8,21.6,17.7,79.2,0.4,100,12.5,rain,,,,21.6,284.8,1012.5,89.3,17.6,166,14.4,6,,2020-10-25T05:55:55,2020-10-25T17:26:50,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-26,25.8,19.7,22.3,25.8,19.7,22.3,20.4,89.3,0.2,100,8.33,rain,,,,22.3,169,1012.7,85.3,15.7,163.6,14.2,6,,2020-10-26T05:56:20,2020-10-26T17:26:12,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-27,29,20.9,24.4,32,20.9,25.1,21.7,85.7,9.18,100,4.17,rain,,,,15.1,160.9,1011.9,72.7,17.6,231.6,20.1,8,,2020-10-27T05:56:46,2020-10-27T17:25:36,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-28,28.2,21.9,24.2,30.5,21.9,24.4,22.1,88.3,0.87,100,4.17,rain,,,,31.7,141.2,1010.6,90.7,14.8,106,9.2,4,,2020-10-28T05:57:11,2020-10-28T17:25:00,0.46,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-29,23.8,20.8,22,23.8,20.8,22,20.9,93.3,43.35,100,16.67,rain,,,,33.8,47.8,1011.9,96.2,7.3,96.7,8.2,3,,2020-10-29T05:57:38,2020-10-29T17:24:26,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-30,23.6,19.7,21.2,23.6,19.7,21.2,20.1,93.3,20.75,100,16.67,rain,,,,23.8,102.9,1016.3,90.6,11.9,134.4,11.6,4,,2020-10-30T05:58:05,2020-10-30T17:23:52,0.49,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-10-31,26.2,20.4,22.4,26.2,20.4,22.4,21.1,92.7,0.77,100,8.33,rain,,,,18.7,212.9,1016.5,72,13.8,172.3,14.9,6,,2020-10-31T05:58:32,2020-10-31T17:23:19,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-01,27.2,20.1,23.5,29.7,20.1,23.7,21.6,89.4,0.2,100,8.33,rain,,,,11.9,162.5,1015.4,52.2,17.6,214.1,18.6,8,,2020-11-01T05:59:00,2020-11-01T17:22:48,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-02,27.3,19.5,23.3,29.9,19.5,23.4,21.3,89,0.14,100,4.17,rain,,,,23,151.7,1015.5,64.5,13.6,182.2,15.6,7,,2020-11-02T05:59:29,2020-11-02T17:22:18,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-03,24.1,17.7,21.1,24.1,17.7,21.1,17.4,80.4,1.55,100,4.17,rain,,,,20.2,100.2,1017.6,74,17.6,212,18.3,8,,2020-11-03T05:59:58,2020-11-03T17:21:49,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-04,24.4,17.5,21.3,24.4,17.5,21.3,17.4,79.5,0,0,0,,,,,16.9,102.1,1016.7,54.2,17.6,203.7,17.6,8,,2020-11-04T06:00:27,2020-11-04T17:21:20,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-05,25.8,17.9,21.8,25.8,17.9,21.8,19.2,86,0,0,0,,,,,14.4,143.5,1016.3,59.9,13.6,182.4,16,7,,2020-11-05T06:00:58,2020-11-05T17:20:54,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-06,26.7,19.4,22.8,27.9,19.4,22.8,20.2,86.2,0,0,0,,,,,16.9,120.8,1017.2,61.2,18.6,179.7,15.4,7,,2020-11-06T06:01:28,2020-11-06T17:20:28,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-07,27.7,19.8,22.9,28.3,19.8,22.9,19,80,0,0,0,,,,,23.4,222.9,1017.9,28.8,18.5,216.4,18.8,8,,2020-11-07T06:01:59,2020-11-07T17:20:03,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-08,28,18.7,22.4,28.1,18.7,22.4,17.9,77.7,0,0,0,,,,,24.5,194.6,1018.3,7.1,18.5,225.7,19.5,8,,2020-11-08T06:02:31,2020-11-08T17:19:40,0.75,Clear,Clear conditions throughout the day.,clear-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-09,27.5,16.6,21.1,27.3,16.6,21.1,15.7,73.6,0,0,0,,,,,26.3,183,1017.5,29.4,18.5,230.1,20,8,,2020-11-09T06:03:03,2020-11-09T17:19:18,0.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-10,26.9,14.6,19.9,26.5,14.6,19.9,14,71.6,0,0,0,,,,,24.8,165.6,1018.3,51.7,18.8,221.6,19.2,8,,2020-11-10T06:03:36,2020-11-10T17:18:57,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-11,24,16.3,20.1,24,16.3,20.1,15,73.5,0.9,100,29.17,rain,,,,19.1,184.2,1019.8,78.4,15.7,142.1,12.4,6,,2020-11-11T06:04:09,2020-11-11T17:18:37,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-12,27.5,17.5,21.3,27.2,17.5,21.3,16.1,73.5,0,0,0,,,,,20.5,200.9,1018.9,38.4,17.6,205.8,17.8,8,,2020-11-12T06:04:43,2020-11-12T17:18:19,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-13,28.1,15.9,20.9,27.3,15.9,20.8,15.6,74.6,0,0,0,,,,,20.9,220.2,1016.9,13.2,18.5,229.4,19.8,8,,2020-11-13T06:05:17,2020-11-13T17:18:02,0.98,Clear,Clear conditions throughout the day.,clear-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-14,26.8,15,20.4,26.6,15,20.4,14.8,72.3,0.6,100,12.5,rain,,,,24.5,137.6,1016.4,45.5,18.5,203.1,17.6,8,,2020-11-14T06:05:51,2020-11-14T17:17:46,1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-15,21.3,16.9,19.5,21.3,16.9,19.5,17.8,90.5,12.32,100,16.67,rain,,,,31,211.9,1016.1,87.2,9.8,90.6,7.8,4,,2020-11-15T06:06:26,2020-11-15T17:17:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-16,25.1,19.2,21.7,25.1,19.2,21.7,21,96,44.07,100,16.67,rain,,,,22,152,1015.5,92.1,9.3,76.8,6.6,3,,2020-11-16T06:07:01,2020-11-16T17:17:18,0.01,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-17,27.8,21,23.7,31.1,21,24.3,22.2,91.7,2.07,100,4.17,rain,,,,19.1,173.3,1012.8,68.5,13,209.1,18,8,,2020-11-17T06:07:37,2020-11-17T17:17:06,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-11-18,28.3,20.9,24.3,31.9,20.9,25.1,22.4,90.2,0,0,0,,,,,15.5,163.9,1011.2,61.1,13.1,207.8,17.9,8,,2020-11-18T06:08:13,2020-11-18T17:16:56,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-11-19,28.9,21,24.3,33.1,21,25.1,22.5,90.5,0,0,0,,,,,12.2,178.3,1010.5,44.8,13.6,214.3,18.6,8,,2020-11-19T06:08:49,2020-11-19T17:16:47,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
